,Username,Repository Name,Repository URL,Main.java URL,commit_count,complexity
167,imperva,domain-directory-controller,https://github.com/imperva/domain-directory-controller,https://github.com/imperva/domain-directory-controller/blob/6916a6d8aeb43efd0f00b5392253eaabe48c9a96/startingkit/ddckit/src/main/java/com/imperva/ddc/kit/Main.java,9,79
168,agaricusb,MCPBukkit,https://github.com/agaricusb/MCPBukkit,https://github.com/agaricusb/MCPBukkit/blob/73b4ee78bcf7b0b43fa4bffdeb52775bf8e3c782/src/org/bukkit/craftbukkit/Main.java,1,5
169,android-art-intel,Nougat,https://github.com/android-art-intel/Nougat,https://github.com/android-art-intel/Nougat/blob/ea41b6bfe5c6b62a3163437438b21568cc783a24/art-extension/opttests/src/OptimizationTests/FormBottomLoops/FloatPointIterator_03/Main.java,1,3
170,jnidzwetzki,crypto-bot,https://github.com/jnidzwetzki/crypto-bot,https://github.com/jnidzwetzki/crypto-bot/blob/47892f585558b7cc74f11a70f72e190945a0af86/crypto-bot-backtest/src/main/java/com/github/jnidzwetzki/cryptobot/backtest/Main.java,4,27
171,Divested-Mobile,WiFiDatabaseMerger,https://github.com/Divested-Mobile/WiFiDatabaseMerger,https://github.com/Divested-Mobile/WiFiDatabaseMerger/blob/25c4d92b43b745e3b60e7aa0797eb7d486362b2b/src/Main.java,2,40
172,tony9402,baekjoon,https://github.com/tony9402/baekjoon,https://github.com/tony9402/baekjoon/blob/f0ec10900f104b367b3bf804a7af19e9a39e2a8a/solution/graph_traversal/17836/Main.java,4,12
173,MRU-COMP1502-201901,COMP-1502-001-W19,https://github.com/MRU-COMP1502-201901/COMP-1502-001-W19,https://github.com/MRU-COMP1502-201901/COMP-1502-001-W19/blob/1f02ce3a1980d2a1174e8da9e646bb693a424d6a/examples/Collections/src/collections/Main.java,2,2
174,piax,piax,https://github.com/piax/piax,https://github.com/piax/piax/blob/096b628df43a89444fe1d447379d8100d9c65558/piax-sample/src/main/java/org/piax/samples/gtrans/hello/agent/receiver/Main.java,2,18
175,mmastrac,oblivious-cpu,https://github.com/mmastrac/oblivious-cpu,https://github.com/mmastrac/oblivious-cpu/blob/c60421f3bd070680336425a725f6fed1a27ee6ab/hidecpu/src/main/java/com/grack/hidecpu/Main.java,5,36
176,SCI2SUGR,KEEL,https://github.com/SCI2SUGR/KEEL,https://github.com/SCI2SUGR/KEEL/blob/5f404a9470f17528445baabe3a5d9f5202adee7a/src/keel/Algorithms/UnsupervisedLearning/AssociationRules/IntervalRuleLearning/QAR_CIP_NSGAII/Main.java,2,10
177,Deconimus,JarShrink,https://github.com/Deconimus/JarShrink,https://github.com/Deconimus/JarShrink/blob/cc8674d2343a1afb47a7aaf49391fc3740f89c49/src/jarshrink/Main.java,7,21
178,Gadreel,divconq,https://github.com/Gadreel/divconq,https://github.com/Gadreel/divconq/blob/28520b38cc77f77ef26ca74228a5cbf535960b31/divconq.tasks/src/main/java/divconq/tasks/services/Main.java,4,4
179,cincheo,ini,https://github.com/cincheo/ini,https://github.com/cincheo/ini/blob/c1e89b3c0520143f1cda0ea623aa9c036b15ff0f/src/main/java/ini/Main.java,40,50
180,plutext,docx4j,https://github.com/plutext/docx4j,https://github.com/plutext/docx4j/blob/1f496eca1f70e07d8c112168857bee4c8e6b0514/docx4j-diffx/src/main/java/com/topologi/diffx/Main.java,1,44
181,LandryNorris,Digital-Circuit-Simulator,https://github.com/LandryNorris/Digital-Circuit-Simulator,https://github.com/LandryNorris/Digital-Circuit-Simulator/blob/4dd634ffb622a4f65ec7fd126e482a7300b8564a/src/com/landry/digitalcircuitsimulator/Main.java,3,59
182,jeonghunn,Favorite-Android-Client,https://github.com/jeonghunn/Favorite-Android-Client,https://github.com/jeonghunn/Favorite-Android-Client/blob/5867e745f2cf9287d504ea13e70fbc8472a96af6/Favorite/src/com/tarks/favorite/main.java,25,19
183,apache,openjpa,https://github.com/apache/openjpa,https://github.com/apache/openjpa/blob/a1e46a10c68c8176cda82db3d1b60e97ca412b75/openjpa-examples/simple/src/main/java/embeddables/Main.java,3,10
184,s4,zeno,https://github.com/s4/zeno,https://github.com/s4/zeno/blob/7c088d1a1230ac68c6280458105a7ed35ca4a67f/src/main/java/io/s4/zeno/console/Main.java,1,23
185,joana-team,joana,https://github.com/joana-team/joana,https://github.com/joana-team/joana/blob/d49d82b5892f9331d37432d02d090f28feab56ea/ifc/sdg/qifc/joana.ifc.sdg.qifc.nildumu/src/edu/kit/joana/ifc/sdg/qifc/nildumu/Main.java,1,5
186,DokChess,dokchess,https://github.com/DokChess/dokchess,https://github.com/DokChess/dokchess/blob/8812178ebbe4b5831e2c314cfb86130ce14f5ae6/src/main/java/de/dokchess/xboard/Main.java,8,14
187,bloomberg,presto-accumulo,https://github.com/bloomberg/presto-accumulo,https://github.com/bloomberg/presto-accumulo/blob/a496a78b32f8579466e6f5be90d63d3927888fa2/presto-accumulo-tools/src/main/java/com/facebook/presto/accumulo/tools/Main.java,11,46
188,OpenJML,OpenJML,https://github.com/OpenJML/OpenJML,https://github.com/OpenJML/OpenJML/blob/41e97a1f19b8d9adc7d33cef81fbf814fd4a56c9/OpenJDK/trunk/langtools/src/share/classes/com/sun/tools/javac/main/Main.java,26,14
189,gehtsoft,forex-connect,https://github.com/gehtsoft/forex-connect,https://github.com/gehtsoft/forex-connect/blob/0f1b2d0e8ca972ddc83b01acdb74e75d3aef9bf7/samples/Linux/java/NonTableManagerSamples/LoginWithToken/src/Main.java,1,28
190,ngs-doo,dsl-compiler-client,https://github.com/ngs-doo/dsl-compiler-client,https://github.com/ngs-doo/dsl-compiler-client/blob/de09c1f5e5d23140ad3ee40c9a9be0e461b94fa4/CommandLineClient/src/main/java/com/dslplatform/compiler/client/Main.java,10,34
